sweep_param,param_value,strategy,lap_time_s,improvement_s,deployed_j,harvested_j,soc_end
regen_efficiency,0.4,conservative,81.71813983197349,0.0,2563396.4543002397,2541777.777777778,0.5956762646955068
regen_efficiency,0.4,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,2541777.777777778,0.3083555555555526
regen_efficiency,0.4,lookahead,81.60846763533475,0.10967219663874062,4489686.725324406,2541777.777777778,0.21041821049067364
regen_efficiency,0.5,conservative,81.71813983197349,0.0,3181993.2055114144,3177222.2222222225,0.5990458033421607
regen_efficiency,0.5,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,3177222.2222222225,0.43544444444444047
regen_efficiency,0.5,lookahead,81.60846763533475,0.10967219663874062,4489686.725324406,3038242.57602863,0.30971117014084376
regen_efficiency,0.6,conservative,81.71813983197349,0.0,3827585.6820004433,3812666.666666667,0.5970161969332435
regen_efficiency,0.6,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,3812666.666666667,0.56253333333333
regen_efficiency,0.6,lookahead,81.60846763533475,0.10967219663874062,4489686.725324406,3038242.576028629,0.30971117014084376
regen_efficiency,0.7,conservative,81.71339746490659,0.004742367066896236,3875009.3526693974,3862553.969526874,0.5975089233714941
regen_efficiency,0.7,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,4448111.111111112,0.6896222222222187
regen_efficiency,0.7,lookahead,81.60846763533475,0.10967219663874062,4489686.725324406,3038242.5760286297,0.30971117014084376
regen_efficiency,0.8,conservative,81.71339746490659,0.004742367066896236,3875009.3526693974,3862553.969526874,0.5975089233714941
regen_efficiency,0.8,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,5083555.555555556,0.8167111111111076
regen_efficiency,0.8,lookahead,81.60846763533475,0.10967219663874062,4489686.725324406,3038242.5760286297,0.30971117014084376
battery_capacity_mj,3.0,conservative,81.71813983197349,0.0,2444901.1564945965,2422679.3613763954,0.5925927349605998
battery_capacity_mj,3.0,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,3812666.666666667,0.5375555555555532
battery_capacity_mj,3.0,lookahead,81.6348026107042,0.08333722126928933,3689255.890548745,2238242.576028622,0.11632889515996164
battery_capacity_mj,4.0,conservative,81.71813983197349,0.0,3206896.0268280283,3201864.3143544504,0.5987420718816058
battery_capacity_mj,4.0,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,3812666.666666667,0.5531666666666648
battery_capacity_mj,4.0,lookahead,81.60846763533475,0.10967219663874062,4489686.725324406,2638242.57602862,0.13713896267605544
battery_capacity_mj,5.0,conservative,81.71813983197349,0.0,3827585.6820004433,3812666.666666667,0.5970161969332435
battery_capacity_mj,5.0,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,3812666.666666667,0.56253333333333
battery_capacity_mj,5.0,lookahead,81.60846763533475,0.10967219663874062,4489686.725324406,3038242.576028629,0.30971117014084376
battery_capacity_mj,6.0,conservative,81.71813983197349,0.0,3827585.6820004433,3812666.666666667,0.5975134974443699
battery_capacity_mj,6.0,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,3812666.666666667,0.5687777777777759
battery_capacity_mj,6.0,lookahead,81.60846763533475,0.10967219663874062,4489686.725324406,3438242.57602863,0.42475930845070553
battery_capacity_mj,7.0,conservative,81.71813983197349,0.0,3827585.6820004433,3812666.666666667,0.5978687120951762
battery_capacity_mj,7.0,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,3812666.666666667,0.5732380952380928
battery_capacity_mj,7.0,lookahead,81.60846763533475,0.10967219663874062,4489686.725324406,3812666.666666667,0.5032828487631776
mguk_power_kw,80.0,conservative,81.71813983197349,0.0,3827585.6820004433,3812666.666666667,0.5970161969332435
mguk_power_kw,80.0,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,3812666.666666667,0.56253333333333
mguk_power_kw,80.0,lookahead,81.60846763533475,0.10967219663874062,4489686.725324406,3038242.576028629,0.30971117014084376
mguk_power_kw,100.0,conservative,81.71813983197349,0.0,3827585.6820004433,3812666.666666667,0.5970161969332435
mguk_power_kw,100.0,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,3812666.666666667,0.56253333333333
mguk_power_kw,100.0,lookahead,81.60846763533475,0.10967219663874062,4489686.725324406,3038242.576028629,0.30971117014084376
mguk_power_kw,120.0,conservative,81.71813983197349,0.0,3827585.6820004433,3812666.666666667,0.5970161969332435
mguk_power_kw,120.0,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,3812666.666666667,0.56253333333333
mguk_power_kw,120.0,lookahead,81.60846763533475,0.10967219663874062,4489686.725324406,3038242.576028629,0.30971117014084376
mguk_power_kw,140.0,conservative,81.71813983197349,0.0,3827585.6820004433,3812666.666666667,0.5970161969332435
mguk_power_kw,140.0,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,3812666.666666667,0.56253333333333
mguk_power_kw,140.0,lookahead,81.60846763533475,0.10967219663874062,4489686.725324406,3038242.576028629,0.30971117014084376
mguk_power_kw,160.0,conservative,81.71813983197349,0.0,3827585.6820004433,3812666.666666667,0.5970161969332435
mguk_power_kw,160.0,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,3812666.666666667,0.56253333333333
mguk_power_kw,160.0,lookahead,81.60846763533475,0.10967219663874062,4489686.725324406,3038242.576028629,0.30971117014084376
