track,cap_mj,improvement_s,deployed_j
monza,2.0,0.1999999998753168,1999999.9987532063
monza,4.0,0.39999999883634985,3999999.9883635705
monza,6.0,0.4132722371967503,6000000.0
monza,8.0,0.41327223719676454,6312666.6666666595
spa,2.0,0.20000000000000284,2000000.0
spa,4.0,0.3999999999969077,3999999.9999692193
spa,6.0,0.4218004373598774,5999046.435653889
spa,8.0,0.4218004373598774,7999074.510262432
monaco,2.0,0.20000000000000284,2000000.0
monaco,4.0,0.21011978221416427,3999999.9999999837
monaco,6.0,0.21011978221416427,5649075.895802981
monaco,8.0,0.21011978221416427,5649075.895802982
