time,power,soc,distance,speed
0.0,0.0,0.6,7.5,55.87962962962963
0.2,0.0,0.6,22.5,56.52777777777778
0.4,0.0,0.6,37.5,57.17592592592593
0.6000000000000001,0.0,0.6,52.5,57.824074074074076
0.8,0.0,0.6,67.5,58.47222222222223
1.0,0.0,0.6,82.5,59.12037037037037
1.2000000000000002,0.0,0.6,97.5,59.76851851851852
1.4000000000000001,0.0,0.6,112.5,60.41666666666667
1.6,0.0,0.6,127.5,61.064814814814824
1.8,0.0,0.6,142.5,61.71296296296296
2.0,0.0,0.6,157.5,62.361111111111114
2.2,0.0,0.6,172.5,63.00925925925927
2.4000000000000004,0.0,0.6,187.5,63.657407407407405
2.6,0.0,0.6,202.5,64.30555555555556
2.8000000000000003,0.0,0.6,217.5,64.9537037037037
3.0,0.0,0.6,232.50000000000003,65.60185185185186
3.2,0.0,0.6,247.50000000000003,66.25
3.4000000000000004,0.0,0.6,262.5,66.89814814814815
3.6,0.0,0.6,277.5,67.54629629629629
3.8000000000000003,0.0,0.6,292.5,68.19444444444444
4.0,0.0,0.6,307.5,68.8425925925926
4.2,0.0,0.6,322.5,69.49074074074073
4.4,0.0,0.6,337.5,70.13888888888889
4.6000000000000005,0.0,0.6,352.5,70.78703703703704
4.800000000000001,0.0,0.6,367.5,71.43518518518519
5.0,0.0,0.6,382.5,72.08333333333333
5.2,0.0,0.6,397.5,72.73148148148148
5.4,0.0,0.6,412.5,73.37962962962963
5.6000000000000005,0.0,0.6,427.5,74.02777777777777
5.800000000000001,0.0,0.6,442.5,74.67592592592592
6.0,0.0,0.6,457.5,75.32407407407408
6.2,0.0,0.6,472.5,75.97222222222223
6.4,0.0,0.6,487.49999999999994,76.62037037037037
6.6000000000000005,0.0,0.6,502.5,77.26851851851852
6.800000000000001,0.0,0.6,517.5,77.91666666666666
7.0,0.0,0.6,532.5,78.56481481481481
7.2,0.0,0.6,547.5,79.21296296296296
7.4,0.0,0.6,562.5,79.86111111111111
7.6000000000000005,0.0,0.6,577.5,80.50925925925927
7.800000000000001,0.0,0.6,592.5,81.1574074074074
8.0,0.0,0.6,607.5,81.80555555555556
8.200000000000001,0.0,0.6,622.5,82.45370370370371
8.4,0.0,0.6,637.5,83.10185185185185
8.6,0.0,0.6,652.5,83.75
8.8,0.0,0.6,667.5,84.39814814814815
9.0,0.0,0.6,682.5,85.04629629629629
9.200000000000001,0.0,0.6,697.5,85.69444444444444
9.4,0.0,0.6,712.5,86.3425925925926
9.600000000000001,0.0,0.6,727.5,86.99074074074075
9.8,0.0,0.6,742.5,87.63888888888889
10.0,0.0,0.6,757.5,88.28703703703702
10.200000000000001,0.0,0.6,772.5,88.93518518518519
10.4,0.0,0.6,787.5,89.58333333333333
10.600000000000001,0.0,0.6,802.5,90.23148148148148
10.8,0.0,0.6,817.5,90.87962962962963
11.0,0.0,0.6,832.5,91.52777777777777
11.200000000000001,0.0,0.6,847.5,92.17592592592592
11.4,0.0,0.6,862.5,92.82407407407408
11.600000000000001,0.0,0.6,877.5,93.47222222222221
11.8,0.0,0.6,892.5,94.12037037037037
12.0,120000.0,0.9925159262572053,905.7692307692307,91.77350427350429
12.193202146690519,120000.0,0.9878790747366328,917.3076923076923,86.43162393162393
12.386404293381037,120000.0,0.9832422232160604,928.8461538461538,81.08974358974359
12.579606440071556,120000.0,0.9786053716954879,940.3846153846154,75.74786324786325
12.772808586762075,120000.0,0.9739685201749154,951.9230769230769,70.40598290598291
12.966010733452594,120000.0,0.969331668654343,963.4615384615385,65.06410256410255
13.159212880143112,120000.0,0.9646948171337705,975.0,59.72222222222222
13.352415026833631,120000.0,0.960057965613198,986.5384615384615,54.38034188034188
13.54561717352415,120000.0,0.9554211140926255,998.0769230769231,49.03846153846154
13.738819320214668,120000.0,0.9507842625720531,1009.6153846153846,43.69658119658119
13.932021466905187,120000.0,0.9461474110514806,1021.1538461538462,38.35470085470085
14.125223613595706,120000.0,0.9415105595309081,1032.6923076923076,33.01282051282051
14.318425760286225,120000.0,0.9368737080103356,1044.2307692307693,27.67094017094017
14.511627906976745,120000.0,0.9321609807376083,1052.7272727272727,25.126262626262626
14.707991543340382,120000.0,0.927448253464881,1058.1818181818182,25.37878787878788
14.904355179704018,120000.0,0.9227355261921537,1063.6363636363637,25.63131313131313
15.100718816067655,120000.0,0.9180227989194264,1069.090909090909,25.883838383838384
15.29708245243129,120000.0,0.9133100716466991,1074.5454545454545,26.136363636363637
15.493446088794927,120000.0,0.9085973443739718,1080.0,26.38888888888889
15.689809725158563,120000.0,0.9038846171012445,1085.4545454545455,26.64141414141414
15.8861733615222,120000.0,0.8991718898285171,1090.909090909091,26.893939393939398
16.082536997885835,120000.0,0.8944591625557898,1096.3636363636363,27.146464646464647
16.27890063424947,120000.0,0.8897464352830625,1101.8181818181818,27.398989898989896
16.47526427061311,120000.0,0.8850337080103352,1107.2727272727273,27.65151515151515
16.671627906976745,120000.0,0.8803209807376079,1112.7272727272727,27.9040404040404
16.86799154334038,120000.0,0.8756082534648806,1118.1818181818182,28.156565656565654
17.064355179704016,120000.0,0.8708955261921533,1123.6363636363637,28.409090909090907
17.260718816067655,120000.0,0.866182798919426,1129.090909090909,28.66161616161616
17.45708245243129,120000.0,0.8614700716466986,1134.5454545454545,28.91414141414141
17.653446088794926,120000.0,0.8567573443739713,1140.0,29.166666666666664
