time,power,soc,distance,speed,segment_name,segment_type,cumulative_energy_deployed_j
27.09749875337173,0.0,0.5895042625720519,1846.1363636363635,83.14393939393939,Curva Grande,corner,1056000.0
27.29499091638113,0.0,0.5895042625720519,1862.0454545454545,83.270202020202,Curva Grande,corner,1056000.0
27.49248307939054,0.0,0.9548848181276075,1875.7692307692307,89.20940170940172,Roggia Brake,brake,1056000.0
27.68568522608106,0.0,0.9548848181276075,1887.3076923076924,84.2948717948718,Roggia Brake,brake,1056000.0
27.878887372771576,0.0,0.9548848181276075,1898.8461538461538,79.38034188034189,Roggia Brake,brake,1056000.0
28.072089519462097,120000.0,0.950247966607035,1910.3846153846155,74.46581196581198,Roggia Brake,brake,1080000.0
28.265291666152613,120000.0,0.9456111150864626,1921.923076923077,69.55128205128206,Roggia Brake,brake,1104000.0
28.458493812843134,120000.0,0.9409742635658901,1933.4615384615386,64.63675213675214,Roggia Brake,brake,1128000.0
28.65169595953365,120000.0,0.9363374120453176,1945.0,59.72222222222223,Roggia Brake,brake,1152000.0
28.84489810622417,120000.0,0.9317005605247451,1956.5384615384614,54.80769230769232,Roggia Brake,brake,1176000.0
29.03810025291469,120000.0,0.9270637090041727,1968.076923076923,49.89316239316239,Roggia Brake,brake,1200000.0
29.23130239960521,120000.0,0.9224268574836002,1979.6153846153845,44.978632478632484,Roggia Brake,brake,1224000.0
29.424504546295726,120000.0,0.9177900059630277,1991.1538461538462,40.06410256410257,Roggia Brake,brake,1248000.0
29.617706692986246,120000.0,0.9131531544424553,2002.6923076923076,35.149572649572654,Roggia Brake,brake,1272000.0
29.810908839676763,120000.0,0.9085163029218828,2014.2307692307693,30.235042735042732,Roggia Brake,brake,1296000.0
30.004110986367284,120000.0,0.9038206507479698,2023.2608695652175,28.019323671497585,Roggia Corner,corner,1320000.0
30.199763160280327,120000.0,0.8991249985740568,2029.7826086956522,28.5024154589372,Roggia Corner,corner,1344000.0
30.39541533419337,120000.0,0.8944293464001438,2036.304347826087,28.985507246376812,Roggia Corner,corner,1368000.0
30.591067508106413,120000.0,0.8897336942262308,2042.8260869565217,29.468599033816425,Roggia Corner,corner,1392000.0
30.78671968201946,120000.0,0.8850380420523178,2049.3478260869565,29.95169082125604,Roggia Corner,corner,1416000.0
30.982371855932502,120000.0,0.8803423898784049,2055.8695652173915,30.434782608695652,Roggia Corner,corner,1440000.0
31.178024029845545,120000.0,0.8756467377044919,2062.391304347826,30.917874396135268,Roggia Corner,corner,1464000.0
31.37367620375859,120000.0,0.8709510855305789,2068.913043478261,31.40096618357488,Roggia Corner,corner,1488000.0
31.56932837767163,120000.0,0.8662554333566659,2075.4347826086955,31.884057971014492,Roggia Corner,corner,1512000.0
31.764980551584674,120000.0,0.8615597811827529,2081.9565217391305,32.367149758454104,Roggia Corner,corner,1536000.0
31.960632725497717,120000.0,0.8568641290088399,2088.478260869565,32.85024154589372,Roggia Corner,corner,1560000.0
32.156284899410764,120000.0,0.8521684768349269,2095.0,33.33333333333333,Roggia Corner,corner,1584000.0
32.3519370733238,120000.0,0.8474728246610139,2101.521739130435,33.81642512077295,Roggia Corner,corner,1608000.0
32.54758924723685,120000.0,0.8427771724871009,2108.0434782608695,34.29951690821256,Roggia Corner,corner,1632000.0
32.74324142114989,120000.0,0.8380815203131879,2114.5652173913045,34.78260869565217,Roggia Corner,corner,1656000.0
32.938893595062936,120000.0,0.833385868139275,2121.086956521739,35.265700483091784,Roggia Corner,corner,1680000.0
33.13454576897598,120000.0,0.828690215965362,2127.608695652174,35.748792270531396,Roggia Corner,corner,1704000.0
33.33019794288902,120000.0,0.823994563791449,2134.1304347826085,36.231884057971016,Roggia Corner,corner,1728000.0
33.52585011680207,120000.0,0.819298911617536,2140.6521739130435,36.71497584541063,Roggia Corner,corner,1752000.0
33.72150229071511,120000.0,0.814603259443623,2147.1739130434785,37.19806763285024,Roggia Corner,corner,1776000.0
33.917154464628155,120000.0,0.80990760726971,2153.695652173913,37.68115942028985,Roggia Corner,corner,1800000.0
34.1128066385412,120000.0,0.805211955095797,2160.217391304348,38.164251207729464,Roggia Corner,corner,1824000.0
34.30845881245424,120000.0,0.800516302921884,2166.7391304347825,38.647342995169076,Roggia Corner,corner,1848000.0
34.50411098636729,120000.0,0.7957559723433716,2174.5454545454545,41.8560606060606,Lesmo 1,corner,1872000.0
34.702458093805305,120000.0,0.7909956417648591,2183.6363636363635,42.234848484848484,Lesmo 1,corner,1896000.0
34.90080520124332,120000.0,0.7862353111863467,2192.7272727272725,42.61363636363636,Lesmo 1,corner,1920000.0
35.09915230868134,120000.0,0.7814749806078343,2201.818181818182,42.99242424242424,Lesmo 1,corner,1944000.0
35.29749941611935,120000.0,0.7767146500293218,2210.909090909091,43.37121212121212,Lesmo 1,corner,1968000.0
35.49584652355737,120000.0,0.7719543194508094,2220.0,43.75,Lesmo 1,corner,1992000.0
35.694193630995386,120000.0,0.767193988872297,2229.090909090909,44.128787878787875,Lesmo 1,corner,2016000.0
35.892540738433404,120000.0,0.7624336582937845,2238.181818181818,44.50757575757576,Lesmo 1,corner,2040000.0
36.09088784587142,120000.0,0.7576733277152721,2247.2727272727275,44.88636363636363,Lesmo 1,corner,2064000.0
36.28923495330944,120000.0,0.7529129971367596,2256.3636363636365,45.265151515151516,Lesmo 1,corner,2088000.0
36.48758206074745,120000.0,0.7481526665582472,2265.4545454545455,45.64393939393939,Lesmo 1,corner,2112000.0
36.68592916818547,120000.0,0.7433923359797348,2274.5454545454545,46.02272727272727,Lesmo 1,corner,2136000.0
36.884276275623485,120000.0,0.7386320054012223,2283.6363636363635,46.40151515151515,Lesmo 1,corner,2160000.0
37.0826233830615,120000.0,0.7338716748227099,2292.7272727272725,46.78030303030303,Lesmo 1,corner,2184000.0
37.28097049049952,120000.0,0.7291113442441974,2301.818181818182,47.15909090909091,Lesmo 1,corner,2208000.0
37.47931759793754,120000.0,0.724351013665685,2310.909090909091,47.53787878787878,Lesmo 1,corner,2232000.0
37.677664705375555,120000.0,0.7195906830871726,2320.0,47.916666666666664,Lesmo 1,corner,2256000.0
37.876011812813566,120000.0,0.7148303525086601,2329.090909090909,48.29545454545455,Lesmo 1,corner,2280000.0
38.07435892025158,120000.0,0.7100700219301477,2338.181818181818,48.67424242424242,Lesmo 1,corner,2304000.0
38.2727060276896,120000.0,0.7053096913516352,2347.2727272727275,49.053030303030305,Lesmo 1,corner,2328000.0
38.47105313512762,120000.0,0.7005493607731228,2356.3636363636365,49.43181818181818,Lesmo 1,corner,2352000.0
38.66940024256564,120000.0,0.6957890301946104,2365.4545454545455,49.81060606060606,Lesmo 1,corner,2376000.0
38.867747350003654,120000.0,0.6909890301946103,2375.0,44.666666666666664,Lesmo 2,corner,2400000.0
39.06774735000366,120000.0,0.6861890301946103,2385.0,45.11111111111111,Lesmo 2,corner,2424000.0
39.26774735000365,120000.0,0.6813890301946103,2395.0,45.55555555555556,Lesmo 2,corner,2448000.0
39.467747350003656,120000.0,0.6765890301946103,2405.0,46.0,Lesmo 2,corner,2472000.0
39.66774735000365,120000.0,0.6717890301946102,2415.0,46.44444444444444,Lesmo 2,corner,2496000.0
39.867747350003654,120000.0,0.6669890301946102,2425.0,46.888888888888886,Lesmo 2,corner,2520000.0
