regen_efficiency,battery_capacity_mj,strategy,lap_time_s,improvement_s,deployed_j,harvested_j,soc_end
0.4,3.0,conservative,81.71813983197349,0.0,2421099.5036020344,2417935.1851851856,0.5989452271943838
0.4,3.0,aggressive,81.5741398319735,0.14399999999999125,3521288.623065737,2541777.777777778,0.27349638490401534
0.4,3.0,lookahead,81.6348026107042,0.08333722126928933,3689255.890548745,2238242.576028622,0.11632889515996164
0.4,4.0,conservative,81.71813983197349,0.0,2563396.4543002397,2541777.777777778,0.5945953308693842
0.4,4.0,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,2541777.777777778,0.2354444444444429
0.4,4.0,lookahead,81.61086172400469,0.10727810796879567,4465745.838624899,2541777.777777778,0.11900798478822161
0.4,5.0,conservative,81.71813983197349,0.0,2563396.4543002397,2541777.777777778,0.5956762646955068
0.4,5.0,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,2541777.777777778,0.3083555555555526
0.4,5.0,lookahead,81.60846763533475,0.10967219663874062,4489686.725324406,2541777.777777778,0.21041821049067364
0.4,6.0,conservative,81.71813983197349,0.0,2563396.4543002397,2541777.777777778,0.5963968872462557
0.4,6.0,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,2541777.777777778,0.3569629629629613
0.4,6.0,lookahead,81.60846763533475,0.10967219663874062,4489686.725324406,2541777.777777778,0.27534850874222944
0.4,7.0,conservative,81.71813983197349,0.0,2563396.4543002397,2541777.777777778,0.5969116176396486
0.4,7.0,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,2541777.777777778,0.3916825396825375
0.4,7.0,lookahead,81.60846763533475,0.10967219663874062,4489686.725324406,2541777.777777778,0.3217272932076237
0.5,3.0,conservative,81.71813983197349,0.0,2444901.1564945965,2422679.3613763954,0.5925927349605998
0.5,3.0,aggressive,81.5741398319735,0.14399999999999125,3852249.271213887,3177222.2222222225,0.37499098366944744
0.5,3.0,lookahead,81.6348026107042,0.08333722126928933,3689255.890548745,2238242.576028622,0.11632889515996164
0.5,4.0,conservative,81.71813983197349,0.0,3134896.0268280283,3122418.981481482,0.5968807386633637
0.5,4.0,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,3177222.2222222225,0.39430555555555447
0.5,4.0,lookahead,81.60846763533475,0.10967219663874062,4489686.725324406,2638242.57602862,0.13713896267605544
0.5,5.0,conservative,81.71813983197349,0.0,3181993.2055114144,3177222.2222222225,0.5990458033421607
0.5,5.0,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,3177222.2222222225,0.43544444444444047
0.5,5.0,lookahead,81.60846763533475,0.10967219663874062,4489686.725324406,3038242.57602863,0.30971117014084376
0.5,6.0,conservative,81.71813983197349,0.0,3181993.2055114144,3177222.2222222225,0.5992048361184674
0.5,6.0,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,3177222.2222222225,0.46287037037036827
0.5,6.0,lookahead,81.60846763533475,0.10967219663874062,4489686.725324406,3177222.2222222225,0.3812559161496376
0.5,7.0,conservative,81.71813983197349,0.0,3181993.2055114144,3177222.2222222225,0.5993184309586882
0.5,7.0,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,3177222.2222222225,0.4824603174603142
0.5,7.0,lookahead,81.60846763533475,0.10967219663874062,4489686.725324406,3177222.2222222225,0.4125050709854
0.6,3.0,conservative,81.71813983197349,0.0,2444901.1564945965,2422679.3613763954,0.5925927349605998
0.6,3.0,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,3812666.666666667,0.5375555555555532
0.6,3.0,lookahead,81.6348026107042,0.08333722126928933,3689255.890548745,2238242.576028622,0.11632889515996164
0.6,4.0,conservative,81.71813983197349,0.0,3206896.0268280283,3201864.3143544504,0.5987420718816058
0.6,4.0,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,3812666.666666667,0.5531666666666648
0.6,4.0,lookahead,81.60846763533475,0.10967219663874062,4489686.725324406,2638242.57602862,0.13713896267605544
0.6,5.0,conservative,81.71813983197349,0.0,3827585.6820004433,3812666.666666667,0.5970161969332435
0.6,5.0,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,3812666.666666667,0.56253333333333
0.6,5.0,lookahead,81.60846763533475,0.10967219663874062,4489686.725324406,3038242.576028629,0.30971117014084376
0.6,6.0,conservative,81.71813983197349,0.0,3827585.6820004433,3812666.666666667,0.5975134974443699
0.6,6.0,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,3812666.666666667,0.5687777777777759
0.6,6.0,lookahead,81.60846763533475,0.10967219663874062,4489686.725324406,3438242.57602863,0.42475930845070553
0.6,7.0,conservative,81.71813983197349,0.0,3827585.6820004433,3812666.666666667,0.5978687120951762
0.6,7.0,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,3812666.666666667,0.5732380952380928
0.6,7.0,lookahead,81.60846763533475,0.10967219663874062,4489686.725324406,3812666.666666667,0.5032828487631776
0.7,3.0,conservative,81.71813983197349,0.0,2444901.1564945965,2422679.3613763954,0.5925927349605998
0.7,3.0,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,4448111.111111112,0.7493703703703678
0.7,3.0,lookahead,81.6348026107042,0.08333722126928933,3689255.890548745,2238242.576028622,0.11632889515996164
0.7,4.0,conservative,81.71813983197349,0.0,3206896.0268280283,3201864.3143544504,0.5987420718816058
0.7,4.0,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,4448111.111111112,0.7120277777777759
0.7,4.0,lookahead,81.60846763533475,0.10967219663874062,4489686.725324406,2638242.57602862,0.13713896267605544
0.7,5.0,conservative,81.71339746490659,0.004742367066896236,3875009.3526693974,3862553.969526874,0.5975089233714941
0.7,5.0,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,4448111.111111112,0.6896222222222187
0.7,5.0,lookahead,81.60846763533475,0.10967219663874062,4489686.725324406,3038242.5760286297,0.30971117014084376
0.7,6.0,conservative,81.673087344838,0.045052487135492925,4278110.553355507,4262553.969526875,0.5974072360285624
0.7,6.0,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,4448111.111111112,0.6746851851851835
0.7,6.0,lookahead,81.60846763533475,0.10967219663874062,4489686.725324406,3438242.5760286297,0.42475930845070553
0.7,7.0,conservative,81.65411787657041,0.06402195540307787,4467805.236031323,4448111.111111112,0.5971865535828276
0.7,7.0,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,4448111.111111112,0.6640158730158712
0.7,7.0,lookahead,81.60846763533475,0.10967219663874062,4489686.725324406,3838242.576028631,0.506936550100601
0.8,3.0,conservative,81.71813983197349,0.0,2444901.1564945965,2422679.3613763954,0.5925927349605998
0.8,3.0,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,4502553.969526869,0.7675179898422869
0.8,3.0,lookahead,81.6348026107042,0.08333722126928933,3689255.890548745,2238242.576028622,0.11632889515996164
0.8,4.0,conservative,81.71813983197349,0.0,3206896.0268280283,3201864.3143544504,0.5987420718816058
0.8,4.0,aggressive,81.5741398319735,0.14399999999999125,4000000.0000000144,4902553.969526866,0.8256384923817147
