track,strategy,initial_soc,lap_time_s,lap_time_improvement_s,soc_end,energy_deployed_j,energy_harvested_j,energy_wasted_j,net_energy_change_j,deployment_efficiency
monza,conservative,0.4,81.71813983197349,0.0,0.5964494257733697,2830419.5377998124,3812666.666666667,0.0,-982247.1288668546,1.0
monza,aggressive,0.4,81.5741398319735,0.14399999999999125,0.3625333333333318,4000000.0000000144,3812666.666666667,0.0,187333.33333334746,1.0
monza,lookahead,0.4,81.60846763533475,0.10967219663874062,0.26459598826845115,4489686.725324406,3812666.666666667,0.0,677020.0586577393,1.0
monza,optimal,0.4,81.30486759477672,0.41327223719676454,0.1,5312666.666666648,3812666.666666667,0.0,1499999.9999999814,1.0
monza,conservative,0.6,81.71813983197349,0.0,0.5970161969332435,3827585.6820004433,3812666.666666667,0.0,14919.015333776362,1.0
monza,aggressive,0.6,81.5741398319735,0.14399999999999125,0.56253333333333,4000000.0000000144,3812666.666666667,0.0,187333.33333334746,1.0
monza,lookahead,0.6,81.60846763533475,0.10967219663874062,0.30971117014084376,4489686.725324406,3038242.576028629,774424.0906380375,1451444.149295777,0.8528860584982862
monza,optimal,0.6,81.30486759477674,0.4132722371967503,0.1,6312666.666666622,3812666.666666667,0.0,2499999.9999999553,1.0
monza,conservative,0.8,81.6173398319735,0.10079999999999245,0.5954161969332423,4835585.682000451,3812666.666666667,0.0,1022919.0153337838,1.0
monza,aggressive,0.8,81.5741398319735,0.14399999999999125,0.76253333333333,4000000.0000000144,3812666.666666667,0.0,187333.33333334746,1.0
monza,lookahead,0.8,81.60846763533475,0.10967219663874062,0.30971117014084376,4489686.725324406,2038242.5760286292,1774424.0906380375,2451444.149295777,0.7167316890185941
monza,optimal,0.8,81.30486759477674,0.4132722371967503,0.1,6871276.984763411,3371276.984763435,441389.68190323166,3499999.999999976,0.9396403935769122
spa,conservative,0.4,108.547668881148,0.05231672501713547,0.5982124449365394,6788052.358650622,7779114.583333334,0.0,-991062.224682712,1.0
spa,aggressive,0.4,108.47130475510131,0.12868085106381955,1.0,3003638.8888888853,6003638.888888889,1775475.6944444443,-3000000.0000000037,0.6284927545708502
spa,lookahead,0.4,108.5024935084849,0.09749209768023093,0.43308204476281437,7613704.359519233,7779114.583333334,0.0,-165410.22381410096,1.0
spa,optimal,0.4,108.17818516880526,0.4218004373598774,0.31728046178997577,8192712.274383437,7779114.583333334,0.0,413597.69105010293,1.0
spa,conservative,0.6,108.547668881148,0.05231672501713547,0.598043656793559,7788896.299365529,7779114.583333334,0.0,9781.716032194905,1.0
spa,aggressive,0.6,108.42264208333197,0.17734352283316923,1.0,3999999.9999999944,5999999.999999988,1779114.5833333458,-1999999.9999999935,0.6921475499959426
spa,lookahead,0.6,108.5024935084849,0.09749209768023093,0.6229968790326271,7613704.359519233,7728688.75468239,50425.82865094417,-114984.39516315702,0.993420541220871
spa,optimal,0.6,108.17818516880526,0.4218004373598774,0.4308226520327995,8625001.323169334,7779114.583333334,0.0,845886.7398359999,1.0
spa,conservative,0.8,108.44758377476502,0.15240183140011254,0.597873444027601,8789747.363195335,7779114.583333334,0.0,1010632.7798620015,1.0
spa,aggressive,0.8,108.42264208333197,0.17734352283316923,1.0,3999999.9999999944,4999999.999999975,2779114.583333359,-999999.9999999804,0.5900475572184763
spa,lookahead,0.8,108.5024935084849,0.09749209768023093,0.6229968790326271,7613704.359519233,6728688.754682389,1050425.828650944,885015.6048368439,0.8787615368378037
spa,optimal,0.8,108.17818516880526,0.4218004373598774,0.630822652032801,8625001.323169334,7779114.583333334,0.0,845886.7398359999,1.0
monaco,conservative,0.4,82.44987376454611,0.0,0.5983777387373476,3788722.4174243817,4780611.11111111,0.0,-991888.6936867284,1.0
monaco,aggressive,0.4,82.33070135075302,0.11917241379309473,0.6010098645491628,3775561.788365299,4780611.11111111,0.0,-1005049.3227458112,1.0
monaco,lookahead,0.4,82.36645307489094,0.08342068965517058,0.11706648137063838,6195278.70425792,4780611.11111111,0.0,1414667.5931468103,1.0
monaco,optimal,0.4,82.23975398233195,0.21011978221416427,0.1566039548335128,5997591.336943519,4780611.11111111,0.0,1216980.2258324092,1.0
monaco,conservative,0.6,82.44987376454611,0.0,0.5988646952590871,4786287.634815688,4780611.11111111,0.0,5676.523704578169,1.0
monaco,aggressive,0.6,82.33070135075302,0.11917241379309473,0.7561222222222238,3999999.9999999963,4780611.11111111,0.0,-780611.1111111138,1.0
monaco,lookahead,0.6,82.3377328532843,0.11214091126181813,0.11590432538735412,7201089.48417435,4780611.11111111,0.0,2420478.37306324,1.0
monaco,optimal,0.6,82.23975398233195,0.21011978221416427,0.3566039548335111,5997591.336943519,4780611.11111111,0.0,1216980.2258324092,1.0
monaco,conservative,0.8,82.3497689369599,0.10010482758620753,0.5986550400866738,5787335.910677756,4780611.11111111,0.0,1006724.7995666461,1.0
monaco,aggressive,0.8,82.33070135075302,0.11917241379309473,0.9561222222222245,3999999.9999999963,4780611.11111111,0.0,-780611.1111111138,1.0
monaco,lookahead,0.8,82.31619268707931,0.1336810774668038,0.11542619077957897,8203480.157213229,4780611.11111111,0.0,3422869.0461021187,1.0
monaco,optimal,0.8,82.23975398233195,0.21011978221416427,0.5566039548335177,5997591.336943519,4780611.11111111,0.0,1216980.2258324092,1.0
